TOMUTATE, GA SCORE, GA TRAINING TIME
1,42.0,0.244259918
2,43.0,0.352579773
3,43.0,0.123528958
4,42.0,0.067752689
5,42.0,0.112162683
6,42.0,0.156221176
7,43.0,0.109524801
8,41.0,0.050193728
9,42.0,0.056564943
10,42.0,0.056768945
11,43.0,0.051868261
12,42.0,0.052741122
13,42.0,0.055560376
14,41.0,0.064305301
15,43.0,0.076762919
16,42.0,0.075014734
17,41.0,0.082185362
18,42.0,0.068208025
19,42.0,0.053424151
20,41.0,0.050287804
21,42.0,0.05008144
22,41.0,0.050472558
23,42.0,0.048743181
24,41.0,0.054367726
25,42.0,0.050409014
26,42.0,0.052526026
27,42.0,0.05013159
28,41.0,0.048721392
29,42.0,0.048115721
30,42.0,0.048538632
31,41.0,0.052302757
32,41.0,0.066176723
33,42.0,0.085480804
34,43.0,0.124898058
35,42.0,0.099112466
36,42.0,0.066923997
37,42.0,0.104764747
38,41.0,0.070102293
39,40.0,0.06418777
40,42.0,0.07062833
41,42.0,0.069714754
42,41.0,0.061402456
43,42.0,0.056542835
44,41.0,0.058805921
45,41.0,0.071126837
46,41.0,0.061996294
47,42.0,0.060130224
48,40.0,0.055061979
49,42.0,0.051154674
50,41.0,0.054893904
51,42.0,0.052001658
52,40.0,0.05292519
53,42.0,0.051008733
54,41.0,0.049664397
55,41.0,0.052315605
56,40.0,0.056898799
57,42.0,0.058872296
58,41.0,0.052414596
59,41.0,0.049046314
60,42.0,0.053995501
61,41.0,0.049813604
62,42.0,0.050300096
63,41.0,0.05147689
64,42.0,0.053862326
65,40.0,0.055220045
66,41.0,0.052115621
67,41.0,0.055775076
68,42.0,0.052569385
69,41.0,0.057055871
70,41.0,0.054687822
71,41.0,0.053716456
72,41.0,0.055828054
73,41.0,0.05314372
74,41.0,0.055086881
75,41.0,0.060456436
76,42.0,0.061294098
77,42.0,0.053644622
78,41.0,0.050568218
79,42.0,0.057998969
80,41.0,0.050621426
81,41.0,0.059314144
82,42.0,0.059081136
83,41.0,0.068701032
84,42.0,0.07081517
85,42.0,0.124779091
86,41.0,0.178846658
87,43.0,0.241632882
88,41.0,0.107122159
89,41.0,0.107430118
90,41.0,0.122601261
91,41.0,0.141649901
92,41.0,0.067253047
93,42.0,0.06330884
94,41.0,0.056008673
95,41.0,0.061970441
96,42.0,0.062046138
97,41.0,0.064774771
98,41.0,0.057000301
99,41.0,0.057028158
100,42.0,0.053774415
101,41.0,0.060864465
102,41.0,0.061162489
103,41.0,0.062935985
104,41.0,0.06246162
105,42.0,0.067136666
106,41.0,0.063759659
107,40.0,0.062328434
108,41.0,0.065440675
109,41.0,0.065733213
110,41.0,0.064838494
111,42.0,0.069667682
112,40.0,0.072843309
113,41.0,0.082819995
114,41.0,0.069083288
115,41.0,0.079464769
116,41.0,0.081208375
117,42.0,0.074306077
118,41.0,0.071713113
119,41.0,0.077474365
120,41.0,0.073207522
121,41.0,0.079446739
122,41.0,0.068282378
123,40.0,0.072384901
124,42.0,0.055671516
125,41.0,0.09277702
126,42.0,0.199902207
127,41.0,0.141329227
128,40.0,0.096552269
129,41.0,0.130394453
130,41.0,0.097956955
